url_length,num_subdomains,contains_ip,num_special_chars,https_token,digit_ratio,shortened_url,num_hyphens,tld_position,num_suspicious_words,num_parameters,email_in_url,shannon_entropy,relative_entropy,url_length,num_subdomains,contains_ip,num_special_chars,https_token,digit_ratio,shortened_url,num_hyphens,tld_position,num_suspicious_words,num_parameters,email_in_url,shannon_entropy,relative_entropy,status
29,2,False,4,0,0.0,0,1,0,0,0,0,3.857306856898129,0.7940143983203942,29,2,False,4,0,0.0,0,1,0,0,0,0,3.857306856898129,0.7940143983203942,0
39,2,False,4,0,0.0,0,0,0,0,0,0,3.957852539097701,0.7488271233120419,39,2,False,4,0,0.0,0,0,0,0,0,0,3.957852539097701,0.7488271233120419,1
159,1,False,12,0,0.27044025157232704,0,0,0,0,2,0,4.9174108444706,0.6724312250775509,159,1,False,12,0,0.27044025157232704,0,0,0,0,2,0,4.9174108444706,0.6724312250775509,1
48,2,False,6,1,0.0,0,0,0,0,0,0,4.236440501696145,0.7585441265091961,48,2,False,6,1,0.0,0,0,0,0,0,0,4.236440501696145,0.7585441265091961,1
69,2,False,10,0,0.0,0,0,0,0,0,0,4.383977812434821,0.7176819612419251,69,2,False,10,0,0.0,0,0,0,0,0,0,4.383977812434821,0.7176819612419251,0
53,2,False,5,1,0.0,0,0,0,0,0,0,4.033761021698655,0.7042278351622574,53,2,False,5,1,0.0,0,0,0,0,0,0,4.033761021698655,0.7042278351622574,0
100,2,False,11,0,0.0,0,2,0,1,0,0,4.216622160287628,0.6346648753140158,100,2,False,11,0,0.0,0,2,0,1,0,0,4.216622160287628,0.6346648753140158,1
35,2,False,3,0,0.0,0,0,0,0,0,0,3.9328743603470446,0.7667493385244103,35,2,False,3,0,0.0,0,0,0,0,0,0,3.9328743603470446,0.7667493385244103,0
29,1,False,5,0,0.0,0,0,0,0,0,0,4.0472990984266435,0.8331236994310968,29,1,False,5,0,0.0,0,0,0,0,0,0,4.0472990984266435,0.8331236994310968,1
112,9,False,5,0,0.16071428571428573,0,0,0,0,0,0,4.559107436252553,0.669732589008964,112,9,False,5,0,0.16071428571428573,0,0,0,0,0,0,4.559107436252553,0.669732589008964,1
50,2,False,6,0,0.0,0,0,0,0,0,0,4.121076880026371,0.7301881446753987,50,2,False,6,0,0.0,0,0,0,0,0,0,4.121076880026371,0.7301881446753987,0
68,2,False,8,1,0.0,0,0,0,0,2,0,4.451310179982967,0.7312258482827447,68,2,False,8,1,0.0,0,0,0,0,2,0,4.451310179982967,0.7312258482827447,0
47,2,False,5,1,0.0,0,0,0,0,0,0,4.309284064167407,0.7758061270126025,47,2,False,5,1,0.0,0,0,0,0,0,0,4.309284064167407,0.7758061270126025,0
